assigned_to,title,published,url,video_id,channel_id,full_transcript_length,baseline_summary,rag_summary,human_summary,rag_flan_t5_lg,rag_flan_t5_after_gemini_2.5flash,open-router-gpt-oss-20b,quality_of_baseline,quality_of_rag,quality_of_human,quality_of_rag_flan_t5_lg,quality_rag_flan_t5_after_gemini_2.5flash,quality_of_open-router-gpt-oss-20b,relevance_of_baseline,relevance_of_rag,relevance_of_human,relevance_of_rag_flan_t5_lg,relevance_of_rag_flan_t5_after_gemini_2.5flash,relevance_of_open-router-gpt-oss-20b,informative_of_baseline,informative_of_rag,informative_of_human,informative_of_rag_flan_t5_lg,informative_of_rag_flan_t5_after_gemini_2.5flash,informative_of_open-router-gpt-oss-20b
Damian,AlphaStar: Grandmaster level in StarCraft II using multi-agent reinforcement learning,2019-11-02 11:23:04,https://youtu.be/BTLCdge7uSQ,BTLCdge7uSQ,UCZHmQk67mSJgfCCTn7xBfew,28671,DeepMind's Oriol Vinyals et al have published a paper in the Journal of Nature. The article describes how to train a reinforcement learning agent to play the game of Starcraft 2. Vinyal: This is a publicity stunt,DeepMind's AlphaStar Grandmaster level in Starcraft 2 using multi agent reinforcement learning. The corresponding paper looks like this and is by Oriol Vinyals et al from DeepMind and has been published in the Journal of Nature.,"A video about AlphaStar: an implementation of reinforcement learning being used on the game StarCraft II. With the goal of assessing if an AI model using reinforcement learning can reach the top league in esports, without any restrictions or handicaps given to the model",The paper that kicked off deep learning is a publicity stunt by DeepMind.,"Starcraft 2 is a real time strategy game. There are three races you can play, Terran, Protoss, and Zerg. The game lasts about 10 to 15 minutes. And the goal is to destroy the enemy base.","The speaker critiques DeepMind’s decision to publish its AlphaStar paper in the non‑open‑access journal Nature while arguing the research should be freely available, and then overviews the game of StarCraft II—its RTS mechanics, balanced races, and high‑action rate. They explain the extreme challenge of training a reinforcement‑learning agent to play over 10‑minute matches with a vast action space, and outline DeepMind’s approach, which starts with supervised imitation of high‑elo human games, extracts strategic build‑order statistics, and later employs a novel “leak training” technique to combine many RL tricks into a Grandmaster‑level bot.",2,3,5,2,3,4,2,4,4,2,3,4,3,3,5,1,2,4
Damian,[ML News] Cedille French Language Model | YOU Search Engine | AI Finds Profitable MEME TOKENS,2021-11-18 14:54:52,https://youtu.be/FC-R4MlIqrc,FC-R4MlIqrc,UCZHmQk67mSJgfCCTn7xBfew,34767,Weights and Biases is your one stop shop for all your machine learning needs. It will track your experiments with a single line of code. All of this is done automatically in a distributed way. You can literally sit on your toilet,Weights and Biases is your one stop shop for all your machine learning needs. It will track your experiments with a single line of code. All of this is done automatically in a distributed way. You can sit on your toilet on your smartphone and tune your hyper parameters and start new experiments.,"A news video that talks about upcoming news in AI and ML, topics discussed are DeepMinds Opensource model, a company being sued and the state of AI report for 2021",This video is sponsored by Weights and Biases. Weights and Biases is your one stop shop for all your machine learning needs. It will track your experiments with a single line of code. It will upload automatically all your,"We're going to talk about the first ever multilingual model to win WMT, a competition essentially to do machine translation. This is a corpus of data sets, but then also every year the competition hosts human expert translators that rate the translations of the machine t.","The video begins with an upbeat note about Weights & Biases, a cloud based tool that tracks machine learning experiments, logs, hyper parameters, data sets, and model artifacts, offering free personal and academic plans and self hosting options. It then reports two machine learning breakthroughs: a 6 B French GPT J style model called *City* that outperforms GPT 3 on French NLP tasks and is open source, and a Facebook AI multilingual model that has, for the first time, outperformed all bilingual models in the annual WMT translation competition by leveraging multi language training and advanced techniques. The segment concludes by announcing a new private search engine named U that promises privacy preserving web summaries, positioning it as a direct competitor to Google.",1,1,5,2,4,4,1,1,5,2,5,4,2,2,5,2,4,4
Damian,Starting Term 2 of the Udacity Artificial Intelligence Nanodegree | Learning Intelligence 19,2018-02-04 18:30:01,https://youtu.be/gxMOoNQEIjE,gxMOoNQEIjE,UCr8O8l5cCX85Oem1d18EezQ,12539,This week's episode is about the Artificial Intelligence Nanodegree on Udacity. This term is all about deep learning. The first project is computer vision capstone. Building a facial key point detection system.,"This week's episode of Learning Intelligence 19 is all about deep learning. The first project is computer vision capstone, building a facial key point detection system. In the next tutorial we'll actually train the neural network.",apart of a video series by Daniel Bourke on on his AI series. In this video he implemented a facial recognician model implementing it in Jupyter Notebook. ,This week's episode is going to be really cool. I'm into the second term of the Artificial Intelligence Nanodegree on Udacity. And this term is all about deep learning. So we're building projects using,"We've just completed part one of the computer vision Capstone project, and I'm going to get on to part two and part three later this week. I want to make a blog post or a video about it.","The speaker is halfway through the second term of Udacity’s AI Nanodegree, focusing on deep learning and a computer‑vision capstone that builds a facial key‑point detection system. They describe setting up an Anaconda environment, using $100 in AWS credits, and learning the basics of computer vision—perception and action—while showcasing an Affectiva demo that identifies emotions in real time. The speaker is documenting each step of the capstone, from face detection and edge enhancement to blurring and denoising, with plans to finish training a CNN for key‑point detection and later publish a blog or video guide.",1,1,4,2,3,4,2,2,4,2,2,4,1,1,4,1,2,4
Damian,Intro to APIs in Python - API Series #1,2021-09-29 14:00:18 UTC,https://youtu.be/g_yMowQikOE,g_yMowQikOE,UCv83tO5cePwHMt1952IVVHw,20115,"A look at a few different Python frameworks that we can use for putting them together. API, to start with, stands for Application Program Interface. In reality, this API is a script on a server somewhere.","Part two of our deep learning with Python, TensorFlow, and Keras tutorial. In this tutorial what we're going to be talking about is how to load in an outside data set. We'll use a cats and dogs data set from Microsoft.","An instruction video on a different methods to implement APIs in python, discussed how APIs work and went over basic HTTP and how the different HTTP Methods work, essential for learning on APIs work.","We're going to put together a series of videos just covering APIs, what APIs are, how we interact with them, how we build them.","RESTful APIs are a very common way of working. So we need to follow these six key factors in order to make sure our API is Restful or a REST API. So the first of those is we use a single outward-facing interface. There should be client-server independence. So like we saw before, over here on the left, that is the internet. And that is where we are coming from. Over here is a server.","The video introduces APIs as black‑box “middlemen” that let clients retrieve, create, update, or delete data on a server, with most interactions following the RESTful model governed by six principles—single entry point, client‑server independence, statelessness, caching, a layered architecture, and optionally code exposure. Common HTTP verbs are explained: GET for retrieval, POST for creation, PUT for replacement, DELETE for removal, and PATCH for partial",1,2,5,4,3,4,4,1,4,4,4,4,4,1,4,1,3,4
Damian,[ML News] Uber: Deep Learning for ETA | MuZero Video Compression  | Block-NeRF | EfficientNet-X,2022-02-18 16:38:08,https://youtu.be/fEKZC9mta8w,fEKZC9mta8w,UCZHmQk67mSJgfCCTn7xBfew,24761,Weights and Biases integration with the OpenAI API. Uber now uses deep learning to predict arrival times. mu zero is used to compress YouTube videos and nerf scales to entire city blocks.,Weights and Biases is your one stop shop for all your machine learning needs. It will track your experiments with a single line of code. All of this runs in the cloud. There are options to self host the system.,"ML News video, talks about how Uber uses DeepLearning to improve thier predictions of arrival times, discussed Tenrors and a tool called Know your data.","ML News: Uber now uses deep learning to predict arrival times, mu zero is used to compress YouTube videos and nerf scales to entire city blocks. Amazing.","Uber is a massive business. It's not only ride sharing its packages, its food, and all of these things have in common that at some point, there needs to be made a prediction of how long something is going to take until it arrives, either the food, the people, the packages, you name it. So they switched from Xg boost to deep learning to predict arrival times. Now what's pretty interesting right here is that the goal isn't necessarily to predict the arrival time. However, they have a traffic routing system already, which is essentially something like Google Maps, you type in where you want to go and where you are.","Weights & Biases now integrates with the OpenAI API, letting users fine‑tune GPT‑3 models on their own data and automatically sync training runs, artifacts, tables, and analysis—all viewable within W&B’s interactive dashboards. Uber, moving away from an XGBoost‑based ETA model, adopted a deep‑learning transformer that predicts residuals to a traffic routing system, carefully handling spatial features and asymmetric loss to improve arrival‑time accuracy in milliseconds. DeepMind announced the first real‑world deployment of MuZero, a model‑free reinforcement‑learning algorithm that learns policies without a pre‑defined environment model.",3,2,4,2,4,4,4,1,5,3,5,5,2,2,4,3,4,4
Damian,Talking to companies at ICML19,2019-06-13 7:13:32,https://youtu.be/hkw-WDBipgo,hkw-WDBipgo,UCZHmQk67mSJgfCCTn7xBfew,5091,Graphcore is the new kid on the block for AI hardware. They claim they have a chip specifically designed for the types of operations that machine learning applications do. For now they just offer a cloud solution.,"Graphcore is a new kid on the block for AI hardware, in that they claim they have a chip specifically designed for the types of operations that machine learning applications do. For now they just offer a cloud solution, I believe, and they're going to sell their cards through Dell.","A vlog video where Yannic went to a couple of different locations and talked about different implementations of ML and AI in 2019, additionally he talked abouta wellness center given out free massages.",Is it possible to combine GPUs and CPUs?,"I'm a big fan of the NSA. I've talked to them about machine learning, and they're like, yeah, there are problems like this. And you ask them what do you do?","At conferences he notes that companies vary between showing off cutting‑edge tech—like Graphcore’s AI chips and a mini‑LiDAR sensor—and simply recruiting talent, which can make conversations feel vague or secretive. He candidly shares that even speaking to a high‑profile entity like the NSA yields broad, classified answers, but he still finds value in probing companies to uncover real research needs. Although he feels he isn’t the best at networking, he hopes others can offer strategies to make these industry interactions more fruitful.",2,2,5,2,2,3,1,1,4,2,1,3,1,1,4,1,1,3
Damian,Agent57: Outperforming the Atari Human Benchmark,2020-03-31 15:49:49,https://youtu.be/U3zmekzQ8WQ,U3zmekzQ8WQ,UCZHmQk67mSJgfCCTn7xBfew,21793,Agent 57 is a new agent by DeepMind that is the first one to beat all of the 57 games in the Atari suite to a human or superhuman performance. Agent 57 builds on a number of previous improvements to the original DeepQ networks,"You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary. Today we'll look at Agent 57, a new agent by DeepMind.","A video about Agent57, which is the first model to be able to beat all of the games in the atari series, after the discussion on what Agent57 is the user went over how Reinforcement works in the backend and how it was implemented in Agent 57",The new DeepMind agent beats all of the 57 games in the Atari suite to a human or superhuman performance.,"Let's go into what deep Q learning is. So in reinforcement learning, we have a neural network taking in the observation. So this is O, the observation goes in here. And the action goes in there. Now let's call this AI because we have different actions. So you put observation with action AJ in the same network, right?","Agent 57 is DeepMind’s first reinforcement‑learning agent to beat all 57 games in the Atari benchmark, including hard ones like Solaris where rewards are sparse and long‑delayed. The talk explains how classic Deep Q‑Networks (DQN) model the game state with a neural network to predict Q‑values, but struggle with credit‑assignment over long horizons, and how newer methods such as R2D2 add recurrent networks to encode past observations and actions, improving performance on these challenging tasks.",4,1,4,4,2,4,4,1,4,3,3,4,5,1,5,2,2,5
Damian,Deep Ensembles: A Loss Landscape Perspective (Paper Explained),2020-07-11 12:57:17,https://youtu.be/5IRlUVrEVL8,5IRlUVrEVL8,UCZHmQk67mSJgfCCTn7xBfew,38651,"This week we look at the loss landscape of deep ensembles, a loss landscape perspective by Stanislav Fort, Hui Hu and Balaji Lakshminarayanan. I generally enjoy this type of research because it's kind","Today we'll look at deep ensembles, a loss landscape perspective by Stanislav Fort, Hui Hu and Balaji Lakshminarayanan. This was the paper right here, the paper that kicked off deep learning. So we'll go through the paper, what it does, what evolutionary methods really are. And then we'll then look at the experiments that's going to be used in the paper.",A video about how Deep Ensembles work and went over a book called A Loss Landscape Perspective and summarized the book.,"Today we'll look at deep ensembles, a loss landscape perspective by Stanislav Fort, Hui Hu and Balaji Lakshminarayanan.","Deep ensembles have been empirically shown to be a promising approach for improving accuracy, uncertainty and out of distribution robustness of deep learning models. So what are deep ensembles really quick and an ensemble model?","The transcript explains the recent paper “Loss Landscape Perspective on Deep Ensembles” by Fort, Hu, and Lakshminarayanan, which shows through experiments that each randomly initialized member of a deep ensemble converges to a distinct local minimum in weight space, thereby covering multiple modes of the functional solution space. This diversity explains why deep ensembles often outperform Bayesian neural networks, which usually capture only a single mode, and why they improve accuracy, uncertainty, and out‑of‑distribution robustness. The speaker also discusses how ensembles are built, why they help generalization, and how this explanatory research remains accessible to academia despite the growing trend toward resource‑heavy state‑of‑the‑art methods.",3,3,4,3,2,4,2,3,4,4,4,4,3,3,3,3,3,4
Damian,DETR: End-to-End Object Detection with Transformers (Paper Explained),2020-05-28 15:09:01,https://youtu.be/T35ba_VXkMY,T35ba_VXkMY,UCZHmQk67mSJgfCCTn7xBfew,33431,Facebook has released a paper on end-to-end object detection with transformers. It uses first a CNN and then a transformer to detect objects and it does so via a bipartite matching training objective.,The daily transcript is a written version of each day's episode of CNN Tech. Use this transcript to help students with reading comprehension and vocabulary. Use the weekly Newsquiz to test your knowledge of stories you saw on CNNTech.,Discussed a high level overview of a capability built by facebook on how Object Detection with Transformers which using CNN. ,This paper does object detection in images using first a CNN and then a transformer to detect objects and it does so via a bipartite matching training objective.,"This is a very, very difficult task. So this paper proposes a super simple architecture, and will kind of go from the high level to the low to the implementation of each of the parts.","The tutorial explains how the DETR paper by Facebook AI researchers replaces complex, hand‑tuned object‑detection pipelines with a simple CNN‑backbone followed by a transformer encoder‑decoder that outputs a fixed‑size set of bounding‑box/tensor predictions. By using a bipartite (Hungarian) matching loss during training, the model learns to associate each predicted box with the correct ground‑truth annotation regardless of order, while also allowing a “nothing” class to discard unused predictions. This end‑to‑end approach eliminates many of the engineering hurdles of previous methods, offering a straightforward architecture that still handles varying numbers, sizes, and overlaps of objects.",3,1,4,4,3,4,4,2,5,4,2,4,3,2,4,3,1,4
Damian,Dreamer v2: Mastering Atari with Discrete World Models (Machine Learning Research Paper Explained),2021-02-19 16:11:18,https://youtu.be/o75ybZ-6Uu8,o75ybZ-6Uu8,UCZHmQk67mSJgfCCTn7xBfew,44548,"The world model is part of the dreamer v2 algorithm from the paper mastering Atari with discrete world models by Danny Scharhoffner, Timothy Lillicrop, Muhammad Nerozi, and Jimmy Ba of Google Brain, DeepMind","You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary. This is the paper, agent 57 outperforming the Atari human benchmark by DeepMind.","A video on Dreamer v2, an implementation of Reinforcement Learning and discusses how it was used to have the Dreamer v2 model play and win at atari games. ",Atari is one of the hardest games for reinforcement learning agents to solve.,"Dreamer v2 algorithm from the paper mastering Atari with discrete world models by Danny Scharhoffner, Timothy Lillicrop, Muhammad Nerozi, and Jimmy Ba of Google Brain, DeepMind and the University of Toronto","Dreamer v2 is a model‑based reinforcement‑learning algorithm that first learns a latent categorical world model of Atari games and then uses that model for actor‑critic training, enabling efficient simulation of future play. The model predicts dozens of future frames and agent actions with striking accuracy, outperforming single‑GPU model‑free rivals such as Rainbow, IQN",4,1,4,2,3,4,4,1,5,2,3,4,4,1,4,1,3,4
